Team,W,L,W/L%,PS/G,PA/G,SRS
Boston Celtics,64,18,0.78,120.6,109.2,10.75
New York Knicks,50,32,0.61,112.8,108.2,4.36
Milwaukee Bucks,49,33,0.598,119,116.4,2.44
Cleveland Cavaliers,48,34,0.585,112.6,110.2,1.98
Orlando Magic,47,35,0.573,110.5,108.4,1.48
Indiana Pacers,47,35,0.573,123.3,120.2,2.75
Philadelphia 76ers,47,35,0.573,114.6,111.5,2.51
Miami Heat,46,36,0.561,110.1,108.4,1.1
Chicago Bulls,39,43,0.476,112.3,113.7,-1.77
Atlanta Hawks,36,46,0.439,118.3,120.5,-2.38
Brooklyn Nets,32,50,0.39,110.4,113.3,-3.02
Toronto Raptors,25,57,0.305,112.4,118.8,-6.45
Charlotte Hornets,21,61,0.256,106.6,116.8,-10.12
Washington Wizards,15,67,0.183,113.7,123,-9.29
Detroit Pistons,14,68,0.171,109.9,119,-9.06
Oklahoma City Thunder,57,25,0.695,120.1,112.7,7.36
Denver Nuggets,57,25,0.695,114.9,109.6,5.23
Minnesota Timberwolves,56,26,0.683,113,106.5,6.39
Los Angeles Clippers,51,31,0.622,115.6,112.3,3.41
Dallas Mavericks,50,32,0.61,117.9,115.6,2.3
Phoenix Suns,49,33,0.598,116.2,113.2,3.08
New Orleans Pelicans,49,33,0.598,115.1,110.7,4.46
Los Angeles Lakers,47,35,0.573,118,117.4,1.07
Sacramento Kings,46,36,0.561,116.6,114.8,2.29
Golden State Warriors,46,36,0.561,117.8,115.2,2.77
Houston Rockets,41,41,0.5,114.3,113.2,1.24
Utah Jazz,31,51,0.378,115.7,120.5,-4.22
Memphis Grizzlies,27,55,0.329,105.8,112.8,-6.57
San Antonio Spurs,22,60,0.268,112.1,118.6,-5.8
Portland Trail Blazers,21,61,0.256,106.4,115.4,-8.29