nflId,height,weight,birthDate,collegeName,officialPosition,displayName,height_inches
25511,6-4,225,1977-08-03,Michigan,QB,Tom Brady,76.0
28963,6-5,240,1982-03-02,"Miami, O.",QB,Ben Roethlisberger,77.0
29550,6-4,328,1982-01-22,Arkansas,T,Jason Peters,76.0
29851,6-2,225,1983-12-02,California,QB,Aaron Rodgers,74.0
30078,6-2,228,1982-11-24,Harvard,QB,Ryan Fitzpatrick,74.0
30842,6-6,267,1984-05-19,UCLA,TE,Marcedes Lewis,78.0
30869,6-7,330,1981-12-12,Louisiana State,T,Andrew Whitworth,79.0
33084,6-4,217,1985-05-17,Boston College,QB,Matt Ryan,76.0
33107,6-4,315,1985-08-30,Virginia Tech,T,Duane Brown,76.0
33130,5-10,175,1986-12-01,California,WR,DeSean Jackson,70.0
33131,6-8,300,1986-09-01,Miami,DE,Calais Campbell,80.0
33138,6-3,222,1985-07-02,Michigan,QB,Chad Henne,75.0
33241,6-3,219,05/15/1986,San Diego,QB,Josh Johnson,75.0
33566,5-11,185,1985-11-02,Texas Tech,WR,Danny Amendola,71.0
34452,6-3,220,1988-02-07,Georgia,QB,Matthew Stafford,75.0
34457,6-4,330,1987-01-25,Alabama,T,Andre Smith,76.0
34465,6-0,204,1987-12-20,Ohio State,SS,Malcolm Jenkins,72.0
34472,6-4,311,1985-11-19,California,C,Alex Mack,76.0
34540,6-5,254,1987-04-07,South Carolina,TE,Jared Cook,77.0
34654,5-11,195,1987-08-13,Rutgers,FS,Jason McCourty,71.0
34777,6-3,310,1986-01-03,Troy,NT,Steve McLendon,75.0
34843,6-2,215,1985-10-13,Michigan State,QB,Brian Hoyer,74.0
35441,6-4,313,1987-01-06,Nebraska,DE,Ndamukong Suh,76.0
35442,6-4,300,1988-02-25,Oklahoma,DT,Gerald McCoy,76.0
35443,6-5,320,1988-07-19,Oklahoma,T,Trent Williams,77.0
35446,5-11,195,1989-04-14,Florida,CB,Joe Haden,71.0
35449,6-3,304,1987-05-12,California,DE,Tyson Alualu,75.0
35452,6-2,265,1988-04-03,Michigan,DE,Brandon Graham,74.0
35454,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,77.0
35459,5-10,185,1988-04-10,Alabama,SS,Kareem Jackson,70.0
35462,6-5,314,1989-03-21,Iowa,T,Bryan Bulaga,77.0
35466,5-10,195,1987-08-13,Rutgers,FS,Devin McCourty,70.0
35470,6-2,254,1988-08-13,Texas Christian,DE,Jerry Hughes,74.0
35472,6-5,325,1988-06-06,Indiana,G,Rodger Saffold,77.0
35481,6-6,265,1989-05-14,Arizona,TE,Rob Gronkowski,78.0
35485,6-4,329,1988-10-10,East Carolina,NT,Linval Joseph,76.0
35493,6-6,285,1989-02-28,Florida,OLB,Carlos Dunlap,78.0
35521,5-11,180,1987-03-17,Southern Methodist,WR,Emmanuel Sanders,71.0
35522,6-3,335,1988-06-08,Kentucky,DT,Corey Peters,75.0
35527,5-11,195,1988-01-09,Citadel,WR,Andre Roberts,71.0
35534,6-7,265,1986-11-24,Miami,TE,Jimmy Graham,79.0
35539,6-3,273,1987-12-22,Southern California,DE,Everson Griffen,75.0
35562,6-4,330,1987-03-25,Louisiana State,DT,Al Woods,76.0
35634,5-10,185,07/10/1988,Central Michigan,WR,Antonio Brown,70.0
36712,6-1,210,1987-09-09,Rice,FS,Andrew Sendejo,73.0
36785,6-8,330,1985-10-27,Texas State,T,Ty Nsekhe,80.0
37075,6-3,250,1989-03-26,Texas A&amp;M,OLB,Von Miller,75.0
37077,6-4,210,1988-07-31,Georgia,WR,A.J. Green,76.0
37078,6-1,203,1990-07-11,Louisiana State,CB,Patrick Peterson,73.0
37079,6-3,220,1989-02-08,Alabama,WR,Julio Jones,75.0
37082,6-5,320,1990-12-12,Southern California,T,Tyron Smith,77.0
37083,6-4,235,1989-10-15,Missouri,QB,Blaine Gabbert,76.0
37084,6-5,288,1989-03-22,Wisconsin,DE,J.J. Watt,77.0
37087,6-4,257,1990-05-18,North Carolina,OLB,Robert Quinn,76.0
37089,6-4,265,1988-08-16,Purdue,DE,Ryan Kerrigan,76.0
37090,6-8,325,1988-04-12,Colorado,T,Nate Solder,80.0
37097,6-4,287,1989-07-10,California,DE,Cameron Jordan,76.0
37100,6-2,210,1988-07-26,Colorado,CB,Jimmy Smith,74.0
37101,5-9,215,1989-12-21,Alabama,RB,Mark Ingram,69.0
37104,6-5,295,1989-05-06,Ohio State,DT,Cameron Heyward,77.0
37110,6-2,220,1987-10-29,Texas Christian,QB,Andy Dalton,74.0
37112,6-3,268,1989-05-10,Pittsburgh,DE,Jabaal Sheard,75.0
37118,6-6,265,1989-11-09,Notre Dame,TE,Kyle Rudolph,78.0
37130,6-2,315,1989-07-12,Florida State,C,Rodney Hudson,74.0
37139,5-10,192,1990-08-22,Kentucky,WR,Randall Cobb,70.0
37145,6-3,270,1989-01-21,Georgia,OLB,Justin Houston,75.0
37174,6-4,246,1989-07-23,Mississippi State,OLB,K.J. Wright,76.0
37179,6-5,253,1988-07-17,Tennessee,TE,Luke Stocker,77.0
37200,6-0,195,1988-07-26,Eastern Washington,RB,Taiwan Jones,72.0
37213,6-6,335,1988-05-06,Texas Christian,T,Marcus Cannon,78.0
37229,6-3,195,1988-03-30,Stanford,CB,Richard Sherman,75.0
37234,6-6,265,1987-11-21,Marshall,TE,Lee Smith,78.0
37240,6-3,265,1988-12-17,Mississippi State,OLB,Pernell McPhee,75.0
37255,6-1,215,1989-08-03,Virginia Tech,QB,Tyrod Taylor,73.0
37266,6-3,295,1987-11-05,Cincinnati,C,Jason Kelce,75.0
37308,6-4,315,1990-03-17,Arizona State,DT,Lawrence Guy,76.0
37317,6-0,225,1989-07-05,Southern California,MLB,Malcolm Smith,72.0
37724,5-10,199,1989-06-18,Kansas,CB,Chris Harris,70.0
37737,6-1,210,1987-10-24,"Monmouth, N.J.",WR,Chris Hogan,73.0
37778,6-1,235,1989-08-24,Auburn,ILB,Josh Bynes,73.0
37792,6-1,250,1989-05-12,Central Michigan,LB,Nick Bellore,73.0
37841,6-3,260,1987-09-06,Troy,DE,Mario Addison,75.0
38538,6-4,207,1988-07-27,Texas A&amp;M,QB,Ryan Tannehill,76.0
38540,6-1,202,1990-09-19,South Carolina,CB,Stephon Gilmore,73.0
38542,6-4,310,1990-12-13,Mississippi State,DT,Fletcher Cox,76.0
38544,6-5,305,1990-12-21,Louisiana State,DE,Michael Brockers,77.0
38547,6-2,190,1989-10-26,Alabama,CB,Dre Kirkpatrick,74.0
38548,6-2,247,1989-04-26,South Carolina,OLB,Melvin Ingram,74.0
38551,6-5,265,1990-02-27,Syracuse,OLB,Chandler Jones,77.0
38553,6-6,305,1988-12-01,Iowa,T,Riley Reiff,78.0
38555,6-3,260,1990-03-12,Alabama,OLB,Dont'a Hightower,75.0
38556,6-4,258,1990-07-21,Illinois,DE,Whitney Mercilus,76.0
38557,6-4,315,1990-03-08,Wisconsin,G,Kevin Zeitler,76.0
38559,6-2,214,1989-02-02,Notre Dame,SS,Harrison Smith,74.0
38569,5-10,190,1988-10-29,North Alabama,CB,Janoris Jenkins,70.0
38577,6-0,242,1990-06-27,Utah State,MLB,Bobby Wagner,72.0
38578,6-0,208,1990-03-19,Illinois,SS,Tavon Wilson,72.0
38588,6-1,233,1990-01-23,Nebraska,ILB,Lavonte David,73.0
38592,5-11,192,1989-09-09,Vanderbilt,CB,Casey Hayward,71.0
38605,5-11,215,1988-11-29,Wisconsin,QB,Russell Wilson,71.0
38606,6-5,335,1989-08-19,"Miami, O.",G,Brandon Brooks,77.0
38607,6-2,248,1989-01-11,Arkansas State,ILB,Demario Davis,74.0
38613,6-2,215,1989-08-22,Rutgers,WR,Mohamed Sanu,74.0
38619,6-4,352,1989-11-16,"Regina, Can.",DT,Akiem Hicks,76.0
38622,5-10,183,1989-11-14,Florida International,WR,T.Y. Hilton,70.0
38629,6-3,308,1989-07-02,Georgia,C,Ben Jones,75.0
38630,5-10,175,1989-12-29,Miami,WR,Travis Benjamin,70.0
38632,6-3,202,1988-08-19,Michigan State,QB,Kirk Cousins,75.0
38642,6-6,325,1989-08-01,Mississippi,T,Bobby Massie,78.0
38667,6-5,290,1990-01-11,Tennessee,DT,Malik Jackson,77.0
38673,6-0,200,1987-12-15,Coastal Carolina,CB,Josh Norman,72.0
38681,6-3,300,1990-05-10,Washington,G,Senio Kelemete,75.0
38696,6-2,198,1990-03-12,California,WR,Marvin Jones,74.0
38707,6-0,200,1990-06-17,Presbyterian,FS,Justin Bethel,72.0
38718,6-0,239,1990-03-24,Kentucky,ILB,Danny Trevathan,72.0
38779,6-3,308,1989-06-08,Southern Methodist,T,Kelvin Beachum,75.0
38843,5-10,195,1990-06-23,Virginia,FS,Rodney McLeod,70.0
38868,6-1,212,1990-08-07,Wyoming,FS,Tashaun Gipson,73.0
38937,6-1,215,1988-02-17,Houston,QB,Case Keenum,73.0
38947,5-8,174,1989-04-26,Southern Methodist,WR,Cole Beasley,68.0
39008,6-1,230,1990-09-02,Wagner,OLB,Julian Stanford,73.0
39109,6-3,240,1990-07-25,Beloit,TE,Derek Carrier,75.0
39146,6-5,310,1989-04-11,Oregon State,T,Mike Remmers,77.0
39212,5-11,220,1990-01-26,Mississippi,RB,Brandon Bolden,71.0
39646,6-3,225,1991-04-13,Utah,WR,Josh Gordon,75.0
39684,6-3,305,1990-02-26,Pennsylvania,G,Greg Van Roten,75.0
39907,6-7,270,1986-04-22,California-Irvine,TE,Darren Fells,79.0
39908,6-2,220,1990-04-02,"California, Pa.",FS,Erik Harris,74.0
39941,5-10,207,1990-02-26,Southern Methodist,FS,Chris Banjo,70.0
39947,6-7,315,1991-01-05,Central Michigan,T,Eric Fisher,79.0
39950,6-6,317,1990-05-08,Oklahoma,T,Lane Johnson,78.0
39954,5-8,179,1990-03-15,West Virginia,WR,Tavon Austin,68.0
39959,6-3,294,1990-11-29,Missouri,DT,Sheldon Richardson,75.0
39960,6-2,318,1989-12-20,Utah,DT,Star Lotulelei,74.0
39965,6-5,311,1990-08-15,Syracuse,G,Justin Pugh,77.0
39968,6-0,190,1990-09-10,Washington,CB,Desmond Trufant,72.0
39971,6-1,218,1990-06-19,Florida State,CB,Xavier Rhodes,73.0
39973,6-1,212,1992-06-06,Clemson,WR,DeAndre Hopkins,73.0
39975,6-2,238,1991-03-17,Tennessee,RB,Cordarrelle Patterson,74.0
39976,6-2,235,1991-09-25,Georgia,ILB,Alec Ogletree,74.0
39983,6-5,250,1990-11-10,Stanford,TE,Zach Ertz,77.0
39984,6-0,190,1991-01-01,Mississippi State,CB,Darius Slay,72.0
39985,5-9,205,1991-11-22,North Carolina,RB,Giovani Bernard,69.0
39987,6-3,221,1990-10-10,West Virginia,QB,Geno Smith,75.0
39989,6-0,193,1992-04-10,Southern California,WR,Robert Woods,72.0
39993,6-0,246,1990-12-03,Louisiana State,ILB,Kevin Minter,72.0
39996,6-1,225,1992-02-18,Michigan State,RB,Le'Veon Bell,73.0
39997,6-3,340,1992-03-30,Ohio State,NT,Johnathan Hankins,75.0
39998,6-1,245,1991-05-05,Florida,OLB,Jon Bostic,73.0
40000,6-3,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins,75.0
40001,6-8,295,1987-07-14,Southern Methodist,DT,Margus Hunt,80.0
40008,5-10,186,1988-11-01,Southeastern Louisiana,CB,Robert Alford,70.0
40011,6-5,260,1989-10-05,Cincinnati,TE,Travis Kelce,77.0
40017,5-9,190,1992-05-13,Louisiana State,SS,Tyrann Mathieu,69.0
40020,6-4,320,1991-07-10,Kent State,G,Brian Winters,76.0
40021,6-7,225,1989-12-12,North Carolina State,QB,Mike Glennon,79.0
40023,6-5,304,1991-07-23,Arkansas-Pine Bluff,T,Terron Armstead,77.0
40024,6-2,211,1992-04-27,California,WR,Keenan Allen,74.0
40026,5-9,179,1990-11-19,Texas,WR,Marquise Goodwin,69.0
40030,6-3,327,1989-07-11,Georgia,NT,John Jenkins,75.0
40031,5-11,195,1991-02-09,Rutgers,FS,Logan Ryan,71.0
40039,6-1,205,1991-01-24,Rutgers,SS,Duron Harmon,73.0
40042,6-1,336,1989-02-21,Missouri Southern,NT,Brandon Williams,73.0
40051,6-4,260,1991-02-08,Texas,DE,Alex Okafor,76.0
40070,6-4,307,1991-02-12,Cornell,C,J.C. Tretter,76.0
40074,6-6,281,1991-07-31,Michigan State,DE,William Gholston,78.0
40077,6-2,260,1990-10-14,Ohio State,DE,John Simon,74.0
40078,6-1,240,1991-04-23,Harvard,FB,Kyle Juszczyk,73.0
40089,6-5,315,1991-06-05,Virginia,G,Oday Aboushi,77.0
40092,6-1,202,1992-04-22,Oklahoma,WR,Kenny Stills,73.0
40095,6-3,263,1990-09-16,Buffalo,OLB,Steven Means,75.0
40096,6-1,240,1991-07-30,Iowa State,OLB,A.J. Klein,73.0
40107,6-0,197,1990-12-31,Iowa,FS,Micah Hyde,72.0
40124,6-5,310,1990-08-24,San Jose State,G,David Quessenberry,77.0
40129,6-3,230,1990-01-18,Central Florida,RB,Latavius Murray,75.0
40138,5-10,215,1990-07-02,Nebraska,RB,Rex Burkhead,70.0
40149,6-6,255,1990-01-11,Connecticut,TE,Ryan Griffin,78.0
40151,6-4,319,1991-05-27,Colorado State-Pueblo,C,Ryan Jensen,76.0
40166,6-0,191,1991-04-25,Oregon State,SS,Jordan Poyer,72.0
40171,6-4,309,1990-02-21,Samford,DE,Nicholas Williams,76.0
40253,6-3,249,1990-08-26,Florida,DE,Lerentee McCray,75.0
40347,6-3,328,1991-04-20,Wyoming,NT,Mike Purcell,75.0
40353,6-2,196,1989-10-02,Northern Illinois,CB,Rashaan Melvin,74.0
40416,6-4,295,1991-04-23,Alabama-Birmingham,T,Christopher Hubbard,76.0
40463,6-3,263,1991-07-02,Pennsylvania,OLB,Brandon Copeland,75.0
40488,6-2,200,1990-08-22,Minn. State-Mankato,WR,Adam Thielen,74.0
40608,6-2,293,1989-02-06,Alabama,NT,Damion Square,74.0
40615,6-7,230,1991-07-29,Wisconsin-Milwaukee,TE,Demetrius Harris,79.0
40621,6-1,215,1990-11-15,Kansas,SS,Bradley McDougald,73.0
40641,6-6,262,1990-05-05,Western Kentucky,TE,Jack Doyle,78.0
40688,6-0,191,1991-08-16,Central Florida,CB,A.J. Bouye,72.0
40825,6-3,265,1991-08-03,Idaho,OLB,Benson Mayowa,75.0
41069,6-2,300,1989-06-05,Iowa,C,James Ferentz,74.0
41222,6-9,320,1988-09-22,Army,T,Alejandro Villanueva,81.0
41227,6-5,255,1993-02-14,South Carolina,DE,Jadeveon Clowney,77.0
41230,6-1,211,1993-06-14,Clemson,WR,Sammy Watkins,73.0
41231,6-3,269,1991-02-22,Buffalo,OLB,Khalil Mack,75.0
41232,6-5,309,1992-02-11,Texas A&amp;M,T,Jake Matthews,77.0
41233,6-5,231,1993-08-21,Texas A&amp;M,WR,Mike Evans,77.0
41235,6-5,255,1992-03-18,UCLA,OLB,Anthony Barr,77.0
41236,6-4,253,1993-04-10,North Carolina,TE,Eric Ebron,76.0
41237,6-7,309,1991-07-22,Michigan,T,Taylor Lewan,79.0
41238,5-11,198,1992-11-05,Louisiana State,WR,Odell Beckham,71.0
41239,6-1,280,1991-05-23,Pittsburgh,DT,Aaron Donald,73.0
41240,5-11,194,1992-02-16,Virginia Tech,CB,Kyle Fuller,71.0
41242,6-4,315,1990-11-20,Notre Dame,G,Zack Martin,76.0
41243,6-2,250,1992-06-19,Alabama,ILB,C.J. Mosley,74.0
41246,5-10,183,1993-09-25,Oregon State,WR,Brandin Cooks,70.0
41249,6-2,252,1991-03-19,Auburn,DE,Dee Ford,74.0
41251,5-10,188,1991-06-18,Texas Christian,CB,Jason Verrett,70.0
41256,5-11,193,1991-07-18,Northern Illinois,FS,Jimmie Ward,71.0
41257,5-11,194,1992-05-01,Ohio State,CB,Bradley Roby,71.0
41258,6-2,215,1992-11-10,Louisville,QB,Teddy Bridgewater,74.0
41262,6-4,310,1991-01-01,UCLA,G,Xavier Su'a-Filo,76.0
41263,6-3,265,1992-04-28,Boise State,DE,Demarcus Lawrence,75.0
41264,6-4,320,1991-10-11,Nevada,G,Joel Bitonio,76.0
41265,6-3,210,1991-03-28,Fresno State,QB,Derek Carr,75.0
41269,6-3,250,1991-03-26,Brigham Young,OLB,Kyle Van Noy,75.0
41270,5-8,185,1990-11-27,Florida State,SS,Lamarcus Joyner,68.0
41279,6-3,252,1993-01-17,Georgia Tech,OLB,Jeremiah Attaochu,75.0
41282,6-1,215,1992-12-24,Fresno State,WR,Davante Adams,73.0
41286,6-0,229,1990-09-20,Ohio State,RB,Carlos Hyde,72.0
41290,6-2,220,1993-08-24,Penn State,WR,Allen Robinson,74.0
41291,6-2,225,1991-11-02,Eastern Illinois,QB,Jimmy Garoppolo,74.0
41292,5-11,196,1992-11-28,Louisiana State,WR,Jarvis Landry,71.0
41293,6-6,315,1991-05-29,Missouri,C,Justin Britt,78.0
41295,6-6,330,1991-03-03,Virginia,T,Morgan Moses,78.0
41296,6-5,310,1991-10-17,North Dakota State,T,Billy Turner,77.0
41300,6-2,235,1992-08-31,Iowa,OLB,Christian Kirksey,74.0
41308,5-11,205,1992-03-02,Florida State,SS,Terrence Brooks,71.0
41310,6-3,336,1991-07-12,Mississippi State,G,Gabe Jackson,75.0
41320,5-11,179,1990-04-03,Pittsburg State,WR,John Brown,71.0
41321,6-3,315,1993-06-14,Louisiana State,G,Trai Turner,75.0
41322,6-6,315,1992-01-25,Miami,G,Brandon Linder,78.0
41324,6-6,301,1990-11-15,Michigan,G,Michael Schofield,78.0
41325,5-9,205,1992-05-03,Georgia Southern,RB,Jerick McKinnon,69.0
41327,6-4,257,1992-01-22,California,TE,Richard Rodgers,76.0
41331,5-11,195,1992-01-30,Clemson,CB,Bashaud Breeland,71.0
41332,5-8,206,1992-03-15,Florida State,RB,Devonta Freeman,68.0
41336,6-2,350,1990-12-27,Louisiana Tech,DT,Justin Ellis,74.0
41338,6-0,191,1991-08-06,Duke,CB,Ross Cockrell,72.0
41341,6-4,322,1991-12-27,Penn State,DT,DaQuan Jones,76.0
41348,6-0,235,1992-06-10,Iowa,ILB,Anthony Hitchens,72.0
41349,6-6,250,1991-07-01,Virginia Tech,TE,Logan Thomas,78.0
41356,6-1,192,1990-09-08,Lindenwood,CB,Pierre Desir,73.0
41358,6-2,200,1991-12-01,North Carolina State,CB,Dontae Johnson,74.0
41359,5-10,205,1992-02-03,Wisconsin,RB,James White,70.0
41361,6-0,230,1991-10-07,Boston College,OLB,Kevin Pierre-Louis,72.0
41362,5-9,192,1991-04-23,Utah State,CB,Nevin Lawson,69.0
41363,6-7,300,1991-05-05,Virginia,DE,Brent Urban,79.0
41376,5-9,186,1991-12-18,Purdue,SS,Ricardo Allen,69.0
41387,6-2,292,1991-11-23,Princeton,DT,Caraun Reid,74.0
41390,6-3,301,1991-07-27,Ohio State,C,Corey Linsley,75.0
41403,6-3,256,1991-06-24,Southern California,OLB,Devon Kennard,75.0
41436,6-3,300,1989-10-12,Boise State,C,Matt Paradis,75.0
41448,6-0,204,1990-07-28,Ohio,CB,T.J. Carrie,72.0
41449,6-5,310,1991-02-25,Connecticut,DE,Shamar Stephen,77.0
41464,6-2,290,1991-08-11,Illinois State,DE,Shelby Harris,74.0
41475,6-3,305,1991-10-09,Boise State,T,Charles Leno,75.0
41483,5-11,190,1992-05-17,Oregon,CB,Terrance Mitchell,71.0
41500,5-11,205,1992-10-17,Ball State,WR,Willie Snead,71.0
41502,6-2,208,1990-03-05,Brigham Young,FS,Daniel Sorensen,74.0
41506,5-9,195,1992-07-12,Georgia State,WR,Albert Wilson,69.0
41532,6-5,310,1991-12-17,North Carolina,T,James Hurst,77.0
41563,6-8,328,1991-07-18,Kansas State,T,Cornelius Lucas,80.0
41595,6-4,332,1991-05-09,Colorado State-Pueblo,NT,Mike Pennel,76.0
41599,6-1,232,1991-05-06,South Carolina State,ILB,Joe Thomas,73.0
41619,6-3,316,1992-07-06,Texas,C,Trey Hopkins,75.0
41630,6-3,317,1992-05-31,Central Florida,C,Justin McCray,75.0
41665,6-3,310,1991-05-05,Clemson,G,Tyler Shatley,75.0
41667,6-6,306,1991-02-14,James Madison,T,Josh Wells,78.0
41707,6-4,325,1991-07-08,Utah State,C,Tyler Larsen,76.0
41712,5-11,224,1992-04-03,Oklahoma,RB,Damien Williams,71.0
41722,6-6,290,1991-02-17,Stanford,DE,Josh Mauro,78.0
41786,6-2,270,1991-05-02,Texas Tech,DE,Kerry Hyder,74.0
41808,6-0,240,1992-04-08,San Jose State,FB,Keith Smith,72.0
41915,6-2,250,1992-11-17,Colorado State,OLB,Shaquil Barrett,74.0
41919,6-2,334,1990-08-29,Delaware,DT,Zach Kerr,74.0
41939,6-6,325,1991-10-25,Ohio State,G,Andrew Norwell,78.0
41947,6-3,250,1991-02-18,Florida State,ILB,Christian Jones,75.0
41959,6-6,330,1992-07-07,Bloomsburg,G,Matt Feiler,78.0
42030,5-9,183,1991-07-12,Pittsburgh,CB,K'Waun Williams,69.0
42031,6-5,285,1990-07-15,Mississippi State,DE,Denico Autry,77.0
42033,6-5,245,1991-07-03,Harvard,TE,Cameron Brate,77.0
42051,5-8,170,1992-03-19,McNeese State,WR,Diontae Spencer,68.0
42116,5-11,210,1992-03-28,Texas,SS,Adrian Phillips,71.0
42302,6-6,255,1992-04-10,Canisius,TE,Chris Manhertz,78.0
42331,6-6,265,1992-04-13,No College,DE,Efe Obada,78.0
42344,6-4,231,1994-01-06,Florida State,QB,Jameis Winston,76.0
42346,6-3,255,1994-08-03,Florida,OLB,Dante Fowler,75.0
42347,6-1,211,1994-06-17,Alabama,WR,Amari Cooper,73.0
42348,6-5,315,1991-12-26,Iowa,G,Brandon Scherff,77.0
42349,6-5,302,1994-06-20,Southern California,DT,Leonard Williams,77.0
42350,6-3,216,1992-06-25,West Virginia,WR,Kevin White,75.0
42352,6-6,329,1994-04-25,Miami,G,Ereck Flowers,78.0
42354,6-0,190,1992-07-25,Michigan State,CB,Trae Waynes,72.0
42355,6-2,345,1993-08-20,Washington,NT,Danny Shelton,74.0
42356,6-7,316,1993-11-04,Stanford,G,Andrus Peat,79.0
42357,6-3,216,1993-01-20,Louisville,WR,DeVante Parker,75.0
42358,6-1,215,1993-04-13,Wisconsin,RB,Melvin Gordon,73.0
42360,6-7,292,1993-11-15,Oregon,DE,Arik Armstead,79.0
42362,6-5,313,1992-08-23,Florida State,T,Cameron Erving,77.0
42363,6-0,198,1993-05-24,Southern California,WR,Nelson Agholor,72.0
42364,6-5,310,1992-04-25,Texas A&amp;M,T,Cedric Ogbuehi,77.0
42365,6-4,269,1993-02-12,Kentucky,OLB,Bud Dupree,76.0
42367,6-5,307,1993-12-28,Florida,T,D.J. Humphries,77.0
42368,6-0,230,1994-04-21,Washington,OLB,Shaq Thompson,72.0
42370,6-0,205,1992-09-26,Connecticut,CB,Byron Jones,72.0
42371,6-3,312,1992-02-09,Duke,G,Laken Tomlinson,75.0
42372,5-10,192,1993-01-05,Miami,WR,Phillip Dorsett,70.0
42375,6-2,320,1994-02-02,Texas,DT,Malcom Brown,74.0
42376,6-0,218,1994-01-10,Alabama,SS,Landon Collins,72.0
42377,6-6,338,1993-06-23,Penn State,T,Donovan Smith,78.0
42378,6-3,280,1994-01-25,Florida State,DT,Mario Edwards,75.0
42380,6-1,199,1992-03-03,Ohio State,WR,Devin Smith,73.0
42381,6-5,265,1992-11-17,Mississippi State,OLB,Preston Smith,77.0
42382,6-3,320,1994-01-06,Florida State,NT,Eddie Goldman,75.0
42386,6-4,257,1992-11-19,Mississippi State,ILB,Benardrick McKinney,76.0
